Tx_ID,Tx_X,Tx_Y,Tx_Z,Rx_X,Rx_Y,Rx_Z,Pot_W,Pot_dBm,delta_xy_m,delta_z_m,costo_J
1,147.500,0.000,120.000,38.182,56.321,120.000,1.454369e-07,-38.373,0.328465,1.213387,4.666274
2,136.211,58.515,118.804,70.060,35.534,118.804,2.979356e-07,-35.259,0.259654,1.199494,4.416132
3,102.790,107.860,117.608,54.681,57.021,117.608,3.692624e-07,-34.327,0.256702,1.196008,4.349014
4,52.700,140.163,116.412,27.729,80.149,116.412,3.379123e-07,-34.712,0.243110,1.191271,4.368381
5,-6.025,150.370,115.216,-59.737,29.065,115.216,1.671286e-07,-37.769,0.333893,1.200964,4.624806
6,-64.111,136.977,114.020,-37.950,63.119,114.020,3.220851e-07,-34.920,0.264166,1.189232,4.393563
7,-112.514,102.177,112.823,-52.766,49.214,112.823,3.729239e-07,-34.284,0.265682,1.186862,4.349495
8,-143.811,51.435,111.627,-79.144,27.668,111.627,3.892316e-07,-34.098,0.238350,1.179109,4.321485
9,-153.301,-7.426,110.431,-2.537,71.342,110.431,8.797839e-08,-40.556,0.375301,1.180120,4.832829
10,-139.644,-65.466,109.235,-61.779,-36.771,109.235,3.570091e-07,-34.473,0.260680,1.175967,4.359076
11,-104.992,-113.992,108.039,-50.370,-52.959,108.039,4.253770e-07,-33.712,0.255469,1.171436,4.302675
12,-54.579,-145.845,106.843,-28.106,-77.153,106.843,4.559002e-07,-33.411,0.234903,1.166311,4.270102
13,4.112,-156.417,105.647,44.977,-42.498,105.647,2.115298e-07,-36.746,0.306687,1.175451,4.539310
14,62.500,-144.261,104.451,33.631,-65.459,104.451,4.319112e-07,-33.646,0.248656,1.159989,4.293240
15,112.163,-111.233,103.255,55.557,-54.012,103.255,5.400048e-07,-32.676,0.238484,1.155707,4.219414
16,146.042,-62.142,102.059,72.476,-28.378,102.059,4.957387e-07,-33.047,0.236071,1.152232,4.243697
17,159.411,-4.010,100.862,38.096,44.816,100.862,2.354456e-07,-36.281,0.314907,1.162609,4.508761
18,150.482,54.971,99.666,72.177,30.328,99.666,5.547877e-07,-32.559,0.231786,1.145371,4.206321
19,120.595,106.601,98.470,49.174,49.735,98.470,5.445120e-07,-32.640,0.247330,1.141796,4.220055
20,73.954,143.801,97.274,28.734,62.816,97.274,4.831197e-07,-33.159,0.247293,1.138011,4.255969
21,16.996,161.560,96.078,-4.775,56.833,96.078,2.764324e-07,-35.584,0.281671,1.146435,4.443615
22,-42.535,157.558,94.882,-28.574,71.992,94.882,5.998748e-07,-32.219,0.226721,1.131060,4.178051
23,-96.653,132.426,93.686,-42.529,42.544,93.686,5.159403e-07,-32.874,0.265719,1.131642,4.244620
24,-138.195,89.589,92.490,-49.444,33.982,92.490,4.780323e-07,-33.205,0.263050,1.126895,4.265956
25,-161.749,34.759,91.294,-68.463,21.023,91.294,4.585580e-07,-33.386,0.232127,1.117342,4.261197
26,-164.319,-24.863,90.098,8.796,63.371,90.098,1.878228e-07,-37.263,0.413231,1.113765,4.607272
27,-145.661,-81.553,88.901,-47.760,-36.876,88.901,5.705416e-07,-32.437,0.255577,1.111473,4.206625
28,-108.254,-128.059,87.705,-40.906,-44.507,87.705,6.305253e-07,-32.003,0.252284,1.106308,4.173938
29,-56.926,-158.520,86.509,-26.148,-72.901,86.509,7.812774e-07,-31.072,0.214600,1.106964,4.087765
30,1.806,-169.170,85.313,33.157,-42.435,85.313,3.418282e-07,-34.662,0.283096,1.103589,4.374757
31,60.584,-158.760,84.117,28.526,-67.741,84.117,8.659699e-07,-30.625,0.217572,1.095384,4.056899
32,112.138,-128.666,82.921,46.516,-45.584,82.921,7.936697e-07,-31.004,0.231919,1.085470,4.090538
33,150.177,-82.658,81.725,54.471,-28.866,81.725,6.951533e-07,-31.579,0.237702,1.080371,4.133425
34,170.135,-26.392,80.529,58.186,-14.715,80.529,4.965461e-07,-33.040,0.239796,1.075507,4.236265
